Customer Tier,Transaction date,Replace,Remove,Firedoor,Drop Test,Bumpers,Is_customer_Lenworth,Specialty Door,Dock Seal,Door(general),Hardware/Parts,Dimensions,Column1,Work_type,sqft_services,Flat_Services,Operator/Opener,Install,Quantity,Sales price,Amount,Totals,Distance,service,Distance Tier,unique,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,door_width,door_height,door_sqft,size_source,size_confidence,size_note
Recurring,31/12/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,54.37,Door (General) Install,0,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,30/09/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,58.12,Door (General) Install,0,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,30/09/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,66.0,Door (General) Install,0,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,30/09/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,66.06,Door (General) Install,0,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,26/11/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,73.08,Door (General) Install,0,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,26/11/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,73.08,Door (General) Install,0,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,31/12/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,94.97,Door (General) Install,0,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,30/09/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,113.0,Door (General) Install,1,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,26/11/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,130.61,Door (General) Install,1,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,30/09/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,131.6,Door (General) Install,1,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,26/11/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,139.47,Door (General) Install,1,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,22/10/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,143.13,Door (General) Install,1,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,22/10/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,157.52,Door (General) Install,1,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,30/09/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,177.82,Door (General) Install,1,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,30/09/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,194.6,Door (General) Install,1,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,30/09/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,202.99,Door (General) Install,2,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,30/09/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,207.83,Door (General) Install,2,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,30/09/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,569.81,Door (General) Install,5,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,26/11/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,949.12,Door (General) Install,5,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
