Quantity,Door_Size2,Transaction date,Is_customer_Lenworth2,Distance,Bumpers2,Operator/Opener2,Dock Seal2,Install2,Door(general)2,Drop Test2,Hardware/Parts2,Specialty Door2,Firedoor2,Replace2
1,582,0,0,136,0,0,0,1,0,0,0,0,0,0
9,0,0,1,136,0,0,0,1,0,0,0,0,0,0
1,931,0,0,137,0,0,0,0,0,0,0,0,0,0
1,764,0,0,138,0,0,0,1,0,0,0,0,0,0
12,156,0,1,139,0,0,0,1,0,0,0,0,0,0
33,100,0,0,139,0,0,0,1,1,0,0,0,0,0
1,473,0,0,139,0,0,0,1,0,0,0,0,0,0
1,545,0,0,140,0,0,0,0,1,0,0,0,0,0
6,185,0,1,141,0,0,0,1,1,0,0,0,0,0
4,100,0,0,141,0,0,0,1,0,0,0,0,0,0
1,473,0,0,143,0,0,0,1,0,0,0,0,0,0
1,1482,0,1,144,0,0,0,0,1,0,0,0,0,1
1,0,0,0,145,0,1,0,0,0,0,0,0,0,0
6,18,0,1,146,0,0,0,0,0,0,0,0,0,0
1,864,0,1,146,0,0,0,1,1,0,0,0,0,0
2,118,0,1,146,0,0,0,1,1,0,0,0,0,0
2,218,0,1,147,0,0,0,1,0,0,0,0,0,0
1,182,0,1,147,0,0,0,1,1,0,0,0,0,0
5,140,0,1,147,0,0,0,1,0,0,0,0,1,0
13.5,18,0,1,147,0,0,0,1,1,0,0,0,0,0
1,1064,0,1,147,0,0,0,1,1,0,0,0,0,0
10,0,0,0,148,0,1,0,1,0,0,0,0,0,0
60,9,0,1,149,0,0,0,1,0,0,0,0,0,0
2,291,0,1,151,0,0,0,1,0,0,0,0,0,0
1,436,0,0,152,0,0,0,1,0,0,0,0,0,0
1,0,0,0,153,0,1,0,0,0,0,0,0,0,0
1,356,0,0,153,0,0,0,0,1,0,0,0,0,0
1,218,0,0,154,0,0,0,1,1,0,0,0,0,0
2,58,0,0,155,0,0,0,1,0,0,0,0,0,0
1,273,0,1,156,0,0,0,1,0,0,0,0,0,0
1,0,0,1,156,0,0,0,1,0,0,1,0,0,0
1,236,0,1,156,0,0,0,1,0,0,0,0,0,0
6,606,0,0,156,0,0,0,1,1,0,0,0,0,0
2,164,0,0,156,0,0,0,1,0,0,0,0,0,0
2,91,0,1,156,0,0,0,1,0,0,0,0,0,0
4,73,0,1,156,0,0,0,1,0,0,0,0,0,0
3,109,0,1,156,0,0,0,1,0,0,0,0,0,0
2,91,0,1,156,0,0,0,1,0,0,0,0,0,0
2,191,0,1,157,0,0,0,1,1,0,0,0,0,0
4,109,0,1,157,0,0,0,1,0,0,0,0,0,0
1,473,0,0,158,0,0,0,1,0,0,0,0,0,0
1,507,0,0,159,0,0,0,1,0,0,0,0,0,0
2,329,0,0,159,0,0,0,1,0,0,0,0,0,0
2,0,0,0,160,0,1,0,1,0,0,0,0,0,0
2,614,0,0,160,0,0,0,1,1,0,0,0,0,0
2,513,0,0,163,0,0,0,0,1,0,0,0,0,0
23,66,0,0,163,0,0,0,1,1,0,0,0,0,0
1,327,0,0,163,0,0,0,0,1,0,0,0,0,1
1,0,0,0,164,0,1,0,0,0,0,0,0,0,0
1,1269,0,0,164,0,0,0,1,0,0,0,0,0,0
6,112,0,1,165,0,0,0,1,1,0,0,0,0,0
1,436,0,0,166,0,0,0,1,0,0,0,0,0,0
1,585,0,0,167,0,0,0,1,1,0,0,0,0,0
6,606,0,1,167,0,0,0,1,1,0,0,0,0,0
?,1745,0,1,167,0,0,0,1,1,0,0,0,0,0
3,206,0,1,168,0,0,0,1,0,0,0,0,0,0
1,320,0,0,168,0,0,0,0,1,0,0,0,0,0
1,745,0,0,169,0,0,0,0,1,0,0,0,0,0
3,182,0,1,170,0,0,0,1,1,0,0,0,0,0
?,3090,0,1,170,0,0,0,1,1,0,0,0,0,0
8,200,0,0,170,0,0,0,1,0,0,0,0,0,0
4,155,0,1,173,0,0,0,1,1,0,0,0,0,0
1,364,0,1,173,0,0,0,1,1,0,0,0,0,0
7,18,0,1,174,0,0,0,1,1,0,0,0,0,0
1,36,0,1,174,0,0,0,0,1,0,0,0,0,0
60,73,0,1,174,0,0,0,1,1,0,0,0,0,0
1,364,0,1,174,0,0,0,1,1,0,0,0,0,0
20,73,0,1,174,0,0,0,1,1,0,0,0,0,0
3,182,0,1,174,0,0,0,1,1,0,0,0,0,0
1,164,0,1,174,0,0,0,1,1,0,0,0,0,0
2,109,0,1,174,0,0,0,1,1,0,0,0,0,0
2,164,0,1,174,0,0,0,1,1,0,0,0,0,0
1,750,0,0,175,0,0,0,0,1,0,0,0,0,0
1,473,0,0,178,0,0,0,1,0,0,0,0,0,0
1,745,0,0,179,0,0,0,1,0,0,0,0,0,0
1,489,0,0,181,0,0,0,0,1,0,0,0,0,0
1,173,0,1,182,0,0,0,1,1,0,0,0,0,0
1,182,0,1,183,0,0,0,0,0,0,0,0,0,0
1,182,0,1,183,0,0,0,1,0,0,0,0,0,0
2,159,0,1,184,0,0,0,1,0,0,0,0,1,0
1,127,0,1,185,0,0,0,1,0,0,0,0,0,0
4,0,0,0,186,1,0,0,1,0,0,0,0,0,0
